,Start,End,DeltaBz,Duration,MeanVx
55,2017-07-22 22:53:44.750,2017-07-22 22:53:56.250,8.12891,11.5,-97.380859375
56,2017-07-23 00:20:10.250,2017-07-23 00:20:13.750,-3.4918306,3.5,37.128536224365234
57,2017-07-23 16:30:27.250,2017-07-23 16:30:30.250,-2.4908152,3.0,629.049560546875
58,2017-07-23 16:32:02.750,2017-07-23 16:32:07.250,-2.338652,4.5,580.855224609375
59,2017-07-23 19:32:06.250,2017-07-23 19:32:27.250,-2.0214372,21.0,16.12172508239746
60,2017-07-23 19:37:21.750,2017-07-23 19:37:33.750,1.6136646,12.0,-32.80936050415039
61,2017-07-23 20:46:22.750,2017-07-23 20:46:30.750,-4.549671,8.0,159.79237365722656
62,2017-07-25 16:39:13.250,2017-07-25 16:39:17.750,-2.6457086,4.5,161.13121032714844
63,2017-07-25 22:10:27.250,2017-07-25 22:10:28.250,-20.129707,1.0,804.4373779296875
64,2017-07-26 02:43:03.250,2017-07-26 02:43:06.750,4.1264935,3.5,-378.2420654296875
65,2017-07-26 07:26:48.750,2017-07-26 07:26:51.250,12.739291,2.5,-221.20738220214844
66,2017-07-26 07:27:29.250,2017-07-26 07:27:31.250,13.947992,2.0,-466.7467651367188
67,2017-07-26 07:30:13.750,2017-07-26 07:30:16.250,-4.5869265,2.5,119.30178833007812
68,2017-07-29 08:22:10.250,2017-07-29 08:22:15.750,-7.537471,5.5,588.1964111328125
69,2017-07-29 08:36:10.250,2017-07-29 08:36:18.250,-4.875065,8.0,137.6654815673828
70,2017-07-29 15:55:31.250,2017-07-29 15:55:35.250,-9.732607,4.0,412.8948669433594
71,2017-07-31 20:59:54.750,2017-07-31 20:59:56.750,-5.3105884,2.0,398.5166015625
72,2017-07-31 22:27:42.750,2017-07-31 22:28:04.250,-3.9055636,21.5,148.2957763671875
73,2017-08-01 04:40:05.750,2017-08-01 04:40:12.250,-1.4382974,6.5,533.597900390625
74,2017-08-01 04:45:14.250,2017-08-01 04:45:17.250,-4.144501,3.0,270.5483093261719
75,2017-08-01 11:21:38.750,2017-08-01 11:21:41.250,7.1084146,2.5,-431.2290344238281
76,2017-08-01 11:25:39.750,2017-08-01 11:25:43.250,6.893839,3.5,-550.104736328125
77,2017-08-01 11:26:24.750,2017-08-01 11:26:27.250,10.032036,2.5,-598.6944580078125
78,2017-08-01 12:12:57.750,2017-08-01 12:13:13.250,4.153624,15.5,-92.18939971923828
79,2017-08-01 12:46:02.250,2017-08-01 12:46:04.250,5.589186,2.0,-53.058475494384766
80,2017-08-03 16:30:35.250,2017-08-03 16:30:44.250,4.1589518,9.0,-463.5761413574219
81,2017-08-03 16:39:58.750,2017-08-03 16:40:03.250,5.067728,4.5,-258.7706604003906
82,2017-08-04 12:09:44.750,2017-08-04 12:09:56.250,5.788373,11.5,-54.75128555297852
83,2017-08-06 00:00:57.250,2017-08-06 00:00:59.750,-3.223003,2.5,369.65325927734375
84,2017-08-06 00:04:44.750,2017-08-06 00:04:48.750,-4.58807,4.0,450.3889465332031
85,2017-08-06 00:11:43.250,2017-08-06 00:11:47.250,-14.650509,4.0,240.41229248046875
86,2017-08-06 05:12:48.250,2017-08-06 05:12:54.250,3.5981665,6.0,-531.4459838867188
87,2017-08-06 05:25:07.750,2017-08-06 05:25:09.750,-1.9991744,2.0,278.2467956542969
88,2017-08-06 20:39:51.250,2017-08-06 20:39:53.250,-8.091285,2.0,491.9163818359375
89,2017-08-06 20:48:15.750,2017-08-06 20:48:18.250,2.3698256,2.5,-138.62123107910156
90,2017-08-09 17:39:30.250,2017-08-09 17:39:38.750,-7.7875657,8.5,89.6448974609375
91,2017-08-10 12:19:01.250,2017-08-10 12:19:03.250,-5.6613812,2.0,183.8399200439453
92,2017-08-15 07:23:07.250,2017-08-15 07:23:14.750,-6.352931,7.5,319.1324768066406
93,2017-08-18 09:01:28.250,2017-08-18 09:01:30.750,2.9887938,2.5,-403.3999938964844
94,2017-08-18 17:08:21.750,2017-08-18 17:08:40.250,3.0424027,18.5,-74.05589294433594
95,2017-08-18 17:11:56.250,2017-08-18 17:12:01.250,-13.867648,5.0,542.9514770507812
