,Start,End,DeltaBz,Duration,MeanVx
55,2017-08-01 04:35:11.750,2017-08-01 04:35:16.750,-1.7985092,5.0,136.30992126464844
56,2017-08-01 10:57:45.750,2017-08-01 10:57:51.750,3.8446877,6.0,-239.6283416748047
57,2017-08-01 11:21:59.750,2017-08-01 11:22:01.750,13.32773,2.0,-510.5148010253906
58,2017-08-01 11:24:45.750,2017-08-01 11:24:48.750,16.858944,3.0,-715.6048583984375
59,2017-08-01 11:27:15.250,2017-08-01 11:27:19.750,10.190983,4.5,-537.3526000976562
60,2017-08-01 11:27:55.250,2017-08-01 11:27:57.250,8.580044,2.0,-563.54443359375
61,2017-08-04 07:35:56.250,2017-08-04 07:36:02.750,-10.469903,6.5,203.58985900878903
62,2017-08-07 11:03:40.250,2017-08-07 11:03:45.250,3.2630386,5.0,-482.7908935546875
63,2017-08-09 16:34:24.750,2017-08-09 16:34:29.750,-11.205338,5.0,384.69085693359375
64,2017-08-18 18:01:21.250,2017-08-18 18:01:24.250,-4.959664,3.0,23.44320297241211
65,2017-08-21 00:36:39.750,2017-08-21 00:36:43.250,9.895713,3.5,-138.1971435546875
66,2017-08-21 08:14:33.750,2017-08-21 08:14:39.250,-2.3225498,5.5,166.064697265625
67,2017-08-21 11:36:04.250,2017-08-21 11:36:07.250,-2.3478339,3.0,178.7027130126953
68,2017-08-24 08:05:12.250,2017-08-24 08:05:14.750,10.172811,2.5,-405.685302734375
69,2017-08-24 08:39:40.250,2017-08-24 08:40:00.750,17.352114,20.5,-62.2658576965332
70,2017-09-07 08:49:08.250,2017-09-07 08:49:12.250,-3.4133048,4.0,265.5116882324219
71,2017-09-07 10:44:37.750,2017-09-07 10:44:41.250,14.837065,3.5,-307.5733337402344
72,2017-09-07 10:44:45.250,2017-09-07 10:44:50.250,9.558553,5.0,-317.3222045898437
73,2018-06-02 18:29:42.750,2018-06-02 18:29:49.750,7.133908,7.0,-439.07666015625
74,2018-06-14 03:52:38.750,2018-06-14 03:52:46.250,-5.4218616,7.5,164.8437957763672
75,2018-06-22 13:44:54.250,2018-06-22 13:45:03.750,-1.7765431,9.5,115.50959777832033
76,2018-06-22 13:49:02.250,2018-06-22 13:49:06.250,-6.079121,4.0,287.6204833984375
77,2018-06-22 14:34:41.750,2018-06-22 14:34:46.250,-4.3650475,4.5,412.4523315429688
78,2018-07-03 15:51:54.250,2018-07-03 15:51:56.750,-26.68851,2.5,579.0932006835938
79,2018-07-09 11:06:02.750,2018-07-09 11:06:07.750,-4.5096807,5.0,385.5838928222656
80,2018-07-18 23:10:45.750,2018-07-18 23:10:52.750,-2.0625474,7.0,180.34288024902344
81,2018-08-15 12:01:49.250,2018-08-15 12:01:51.250,24.719223,2.0,-329.4746398925781
82,2018-08-15 12:10:59.250,2018-08-15 12:11:06.750,3.436712,7.5,-370.4293518066406
83,2018-08-22 15:51:28.750,2018-08-22 15:51:29.750,-6.7266626,1.0,438.5185546875
84,2018-08-22 15:55:41.250,2018-08-22 15:55:46.750,-12.439972,5.5,559.36376953125
85,2018-08-27 11:42:37.750,2018-08-27 11:42:41.250,7.63077,3.5,-151.1561737060547
86,2018-08-27 12:14:47.250,2018-08-27 12:14:53.250,4.138281,6.0,-19.19199752807617
87,2018-08-27 13:05:47.250,2018-08-27 13:06:04.250,7.9687815,17.0,-60.668556213378906
88,2018-08-27 14:01:03.250,2018-08-27 14:01:06.750,-19.886818,3.5,366.4908752441406
89,2018-08-30 14:05:52.250,2018-08-30 14:05:55.750,-3.1651936,3.5,232.8583526611328
90,2018-08-30 14:15:26.250,2018-08-30 14:15:30.750,-4.2675333,4.5,80.87290954589844
91,2018-09-05 10:48:17.750,2018-09-05 10:48:22.250,6.813836,4.5,-168.11363220214844
92,2018-09-05 10:51:47.250,2018-09-05 10:51:49.250,2.5177789,2.0,-472.99261474609375
93,2018-09-05 10:54:04.750,2018-09-05 10:54:06.750,5.32415,2.0,-212.94387817382807
94,2018-09-08 14:01:50.750,2018-09-08 14:01:52.750,-1.5744872,2.0,226.52590942382807
95,2018-09-11 07:05:05.750,2018-09-11 07:05:07.750,-5.9804015,2.0,316.2974548339844
96,2018-09-11 07:39:48.250,2018-09-11 07:39:53.750,-18.787521,5.5,455.5916442871094
97,2019-06-29 23:29:15.750,2019-06-29 23:29:26.250,-4.4625473,10.5,240.8140106201172
98,2019-07-14 21:39:47.750,2019-07-14 21:39:57.750,-5.3497906,10.0,111.2584991455078
99,2019-07-19 09:24:29.750,2019-07-19 09:24:32.750,-2.6190972,3.0,40.56570816040039
100,2019-07-25 21:22:08.750,2019-07-25 21:22:17.250,7.378318,8.5,-424.081298828125
101,2019-07-25 21:26:30.250,2019-07-25 21:26:32.250,3.6183476,2.0,-275.93560791015625
102,2019-08-03 18:47:33.750,2019-08-03 18:47:36.250,-2.3866093,2.5,141.6102752685547
103,2019-08-05 12:23:37.250,2019-08-05 12:23:39.250,-7.0793014,2.0,410.4275817871094
104,2019-08-12 14:12:16.750,2019-08-12 14:12:22.250,1.3670297,5.5,-317.2260437011719
105,2019-08-12 14:20:08.250,2019-08-12 14:20:13.250,5.4855084,5.0,-317.9768981933594
106,2019-08-12 14:22:39.250,2019-08-12 14:23:08.750,16.942768,29.5,-116.87577056884766
107,2019-08-14 15:39:36.250,2019-08-14 15:39:41.250,3.891337,5.0,-402.8533630371094
108,2019-09-01 07:20:29.250,2019-09-01 07:20:35.250,14.637931,6.0,-288.0655212402344
109,2019-09-01 08:08:43.750,2019-09-01 08:08:47.750,5.2452126,4.0,-399.5945739746094
110,2019-09-01 08:11:44.750,2019-09-01 08:11:47.250,6.8154793,2.5,-499.4355163574219
111,2019-09-05 21:11:58.750,2019-09-05 21:12:03.250,11.636278,4.5,-652.49560546875
112,2019-09-05 23:20:05.750,2019-09-05 23:20:07.250,-4.049834,1.5,496.0588989257813
113,2019-09-06 04:37:41.750,2019-09-06 04:37:45.250,18.784435,3.5,-332.7755432128906
114,2019-09-06 04:42:33.750,2019-09-06 04:42:34.750,3.203792,1.0,-26.120609283447266
115,2019-09-06 05:09:24.250,2019-09-06 05:09:27.250,-7.055889,3.0,96.64878845214844
116,2019-09-06 05:09:42.750,2019-09-06 05:09:46.750,-5.795371,4.0,129.06915283203125
117,2019-09-09 01:30:20.750,2019-09-09 01:30:36.750,1.9799083,16.0,-279.1238708496094
118,2019-09-09 04:53:35.250,2019-09-09 04:53:44.750,5.5182595,9.5,-6.941368103027344
119,2019-09-09 06:13:50.250,2019-09-09 06:13:56.750,18.269308,6.5,-283.04266357421875
120,2020-06-27 23:03:46.750,2020-06-27 23:03:56.250,-7.6085196,9.5,78.41266632080078
121,2020-07-29 19:21:26.250,2020-07-29 19:21:31.750,3.366464,5.5,-237.3101806640625
122,2020-07-29 19:21:41.250,2020-07-29 19:21:45.750,5.0119457,4.5,-227.16830444335932
123,2020-07-29 19:21:53.250,2020-07-29 19:21:57.750,3.2004304,4.5,-225.01531982421875
124,2020-07-29 19:22:19.250,2020-07-29 19:22:22.250,2.2986195,3.0,-183.2875061035156
125,2020-07-31 09:41:58.250,2020-07-31 09:42:06.250,-3.40093,8.0,118.9658203125
126,2020-08-02 16:37:00.750,2020-08-02 16:37:04.250,3.21121,3.5,-355.3708190917969
127,2020-08-02 17:06:19.750,2020-08-02 17:06:21.250,-3.48418,1.5,245.06646728515625
128,2020-08-02 17:13:01.250,2020-08-02 17:13:02.250,-7.1545124,1.0,449.4451599121094
129,2020-08-03 00:31:29.250,2020-08-03 00:31:45.750,8.639981,16.5,-343.3780822753906
130,2020-08-03 01:07:00.250,2020-08-03 01:07:01.250,5.2364054,1.0,-320.0736389160156
131,2020-08-03 01:09:00.750,2020-08-03 01:09:02.250,-5.8748198,1.5,679.4525146484375
132,2020-08-03 01:09:51.750,2020-08-03 01:09:54.250,-6.7641745,2.5,772.0630493164062
133,2020-08-03 01:09:58.750,2020-08-03 01:10:01.250,-9.759179,2.5,796.0185546875
134,2020-08-03 01:28:31.250,2020-08-03 01:28:36.250,-4.6276217,5.0,410.6261291503906
135,2020-08-03 01:32:36.750,2020-08-03 01:32:40.250,-10.218593,3.5,573.5198364257812
136,2020-08-03 01:34:07.250,2020-08-03 01:34:10.750,-6.3981338,3.5,585.9102172851562
137,2020-08-03 01:35:30.250,2020-08-03 01:35:33.250,-9.1153345,3.0,638.8746948242188
138,2020-08-03 01:38:03.250,2020-08-03 01:38:07.750,-6.1674843,4.5,536.4956665039062
139,2020-08-05 14:18:56.250,2020-08-05 14:18:59.250,6.287722,3.0,-226.8420562744141
140,2020-08-05 14:25:46.250,2020-08-05 14:25:57.250,-4.3641148,11.0,37.87290573120117
141,2020-08-05 14:27:21.750,2020-08-05 14:27:24.250,-2.6746502,2.5,226.96847534179688
142,2020-08-05 14:29:27.250,2020-08-05 14:29:29.250,-5.430004,2.0,487.857177734375
143,2020-08-24 02:52:31.750,2020-08-24 02:52:36.250,-9.2153015,4.5,556.4916381835938
144,2020-08-24 03:07:16.750,2020-08-24 03:07:26.750,-2.8241272,10.0,162.68756103515625
145,2020-08-26 21:54:23.250,2020-08-26 21:54:30.250,10.833573,7.0,-282.730224609375
146,2020-08-26 21:56:42.750,2020-08-26 21:56:46.250,4.498023,3.5,-282.3840026855469
147,2020-08-26 22:53:35.250,2020-08-26 22:53:37.750,-4.0278473,2.5,309.1515808105469
148,2020-08-26 22:53:42.750,2020-08-26 22:53:46.750,-10.840839,4.0,488.10833740234375
