,Start,End,DeltaBz,Duration
66,2017-07-06 15:21:59.750,2017-07-06 15:22:01.250,5.421361,1.5
67,2017-07-06 15:29:44.250,2017-07-06 15:29:47.750,-2.7576447,3.5
68,2017-07-06 15:30:38.750,2017-07-06 15:30:40.250,-6.459646,1.5
69,2017-07-06 15:30:46.750,2017-07-06 15:30:47.750,-11.492664,1.0
70,2017-07-06 15:32:29.250,2017-07-06 15:32:31.250,-15.159667,2.0
71,2017-07-06 15:35:36.750,2017-07-06 15:35:43.250,5.09445,6.5
72,2017-07-06 15:38:56.250,2017-07-06 15:38:58.250,3.7375183,2.0
73,2017-07-06 15:40:07.750,2017-07-06 15:40:18.250,15.609829,10.5
74,2017-07-06 15:44:45.250,2017-07-06 15:44:47.250,-6.3680463,2.0
75,2017-07-06 15:45:22.250,2017-07-06 15:45:25.750,-11.253172,3.5
76,2017-07-06 15:46:00.750,2017-07-06 15:46:04.250,4.3860674,3.5
77,2017-07-06 15:52:41.250,2017-07-06 15:52:47.750,-3.8303683,6.5
78,2017-07-06 15:54:50.750,2017-07-06 15:54:55.250,-4.069687,4.5
79,2017-07-06 16:01:49.250,2017-07-06 16:01:52.250,-6.463763,3.0
80,2017-07-06 16:12:20.750,2017-07-06 16:12:23.250,-2.0452423,2.5
81,2017-07-06 16:16:07.250,2017-07-06 16:16:09.750,7.5120177,2.5
82,2017-07-06 16:16:33.250,2017-07-06 16:16:35.750,7.2203665,2.5
83,2017-07-06 16:23:53.250,2017-07-06 16:23:56.750,-4.555036,3.5
84,2017-07-06 16:26:20.750,2017-07-06 16:26:26.250,-4.921211,5.5
85,2017-07-06 16:35:13.750,2017-07-06 16:35:15.750,2.4699545,2.0
86,2017-07-06 16:35:28.750,2017-07-06 16:35:33.250,-2.3195982,4.5
87,2017-07-06 16:35:38.250,2017-07-06 16:35:40.750,2.2091975,2.5
88,2017-07-06 16:36:59.250,2017-07-06 16:37:00.250,1.7371526,1.0
89,2017-07-06 16:58:13.750,2017-07-06 16:58:24.750,-3.2984447,11.0
90,2017-07-06 17:00:43.750,2017-07-06 17:00:46.250,9.258928,2.5
91,2017-07-06 17:36:31.750,2017-07-06 17:36:35.250,-2.913907,3.5
92,2017-07-06 17:52:00.250,2017-07-06 17:52:24.750,6.600171,24.5
93,2017-07-06 19:03:29.750,2017-07-06 19:03:40.750,1.9593804,11.0
94,2017-07-06 19:04:54.250,2017-07-06 19:05:11.750,6.3200674,17.5
95,2017-07-06 19:08:20.250,2017-07-06 19:08:32.750,2.6119165,12.5
96,2017-07-06 19:50:15.250,2017-07-06 19:50:18.250,-7.531259,3.0
97,2017-07-06 19:51:55.250,2017-07-06 19:52:06.250,5.749082,11.0
98,2017-07-06 20:17:50.250,2017-07-06 20:18:03.750,10.380535,13.5
99,2017-07-06 20:19:10.750,2017-07-06 20:19:15.750,10.782494,5.0
100,2017-07-06 20:19:17.750,2017-07-06 20:19:21.750,-6.563895,4.0
101,2017-07-06 20:25:52.750,2017-07-06 20:25:55.750,-12.034891,3.0
102,2017-07-06 20:29:35.250,2017-07-06 20:29:39.750,-6.4602795,4.5
103,2017-07-06 21:07:53.250,2017-07-06 21:08:03.250,6.2869177,10.0
104,2017-07-06 21:08:56.250,2017-07-06 21:09:12.250,10.926802,16.0
105,2017-07-06 21:09:12.250,2017-07-06 21:09:23.250,-7.6273646,11.0
106,2017-07-06 21:50:34.750,2017-07-06 21:50:47.250,-2.7860043,12.5
107,2017-07-06 21:52:58.250,2017-07-06 21:53:00.250,-0.8779113,2.0
108,2017-07-06 22:40:35.250,2017-07-06 22:40:39.750,-17.574923,4.5
109,2017-07-06 22:46:04.750,2017-07-06 22:46:12.250,-8.4517,7.5
110,2017-07-07 00:20:03.250,2017-07-07 00:20:14.250,3.6385067,11.0
111,2017-07-08 21:53:52.750,2017-07-08 21:53:58.250,-2.3450024,5.5
112,2017-07-08 23:04:29.250,2017-07-08 23:04:38.250,10.546,9.0
113,2017-07-09 10:43:49.250,2017-07-09 10:43:54.250,10.87911,5.0
114,2017-07-09 10:46:01.750,2017-07-09 10:46:07.750,7.1012096,6.0
115,2017-07-09 10:47:56.750,2017-07-09 10:47:58.750,-5.926442,2.0
116,2017-07-09 10:49:05.750,2017-07-09 10:49:14.750,-17.564196,9.0
117,2017-07-09 10:49:20.250,2017-07-09 10:49:31.750,17.738895,11.5
118,2017-07-09 11:29:11.250,2017-07-09 11:29:21.750,5.1828904,10.5
119,2017-07-09 15:34:27.250,2017-07-09 15:34:44.250,9.319199,17.0
120,2017-07-09 17:34:34.750,2017-07-09 17:34:50.250,-5.2557554,15.5
121,2017-07-09 17:36:19.250,2017-07-09 17:36:25.750,-3.7842436,6.5
122,2017-07-09 17:55:31.250,2017-07-09 17:55:37.750,14.398178,6.5
123,2017-07-11 23:09:46.750,2017-07-11 23:09:50.250,-1.921547,3.5
124,2017-07-11 23:14:55.250,2017-07-11 23:15:01.750,1.3956387,6.5
125,2017-07-11 23:27:12.250,2017-07-11 23:27:20.750,-3.2358427,8.5
126,2017-07-11 23:47:41.750,2017-07-11 23:48:03.750,3.2568953,22.0
127,2017-07-11 23:47:41.750,2017-07-11 23:48:09.750,3.578263,28.0
128,2017-07-12 06:39:14.750,2017-07-12 06:39:19.250,2.8140008,4.5
129,2017-07-12 14:41:29.250,2017-07-12 14:41:31.750,8.454495,2.5
130,2017-07-14 05:22:59.250,2017-07-14 05:23:05.750,-13.145735,6.5
131,2017-07-14 05:23:47.250,2017-07-14 05:23:50.250,-5.473244,3.0
132,2017-07-14 06:23:25.750,2017-07-14 06:23:33.250,-9.486925,7.5
133,2017-07-14 06:24:42.750,2017-07-14 06:24:44.250,13.224637,1.5
134,2017-07-14 06:24:44.250,2017-07-14 06:24:47.750,-14.806543,3.5
135,2017-07-15 07:07:49.250,2017-07-15 07:07:52.250,-2.1222153,3.0
136,2017-07-15 07:16:24.750,2017-07-15 07:16:32.750,3.3772078,8.0
137,2017-07-15 20:56:06.250,2017-07-15 20:56:09.750,-0.9860792,3.5
138,2017-07-17 03:11:11.750,2017-07-17 03:11:19.250,19.323586,7.5
139,2017-07-17 07:33:54.750,2017-07-17 07:33:58.750,8.397337,4.0
140,2017-07-17 07:38:35.750,2017-07-17 07:38:37.750,2.080906,2.0
141,2017-07-17 08:15:50.750,2017-07-17 08:16:01.250,7.7254424,10.5
142,2017-07-17 09:07:49.750,2017-07-17 09:07:57.250,-1.9748992,7.5
143,2017-07-17 09:44:33.750,2017-07-17 09:44:49.750,5.7046213,16.0
144,2017-07-17 10:27:35.750,2017-07-17 10:27:39.750,-3.3159556,4.0
145,2017-07-17 10:32:16.750,2017-07-17 10:32:19.750,-13.610395,3.0
146,2017-07-17 14:57:54.250,2017-07-17 14:58:03.250,3.0476604,9.0
147,2017-07-17 14:59:53.750,2017-07-17 14:59:57.250,6.215769,3.5
148,2017-07-17 15:02:33.750,2017-07-17 15:02:49.250,6.499571,15.5
149,2017-07-17 15:05:09.250,2017-07-17 15:05:18.750,16.135862,9.5
150,2017-07-17 15:05:29.250,2017-07-17 15:05:31.750,-5.355675,2.5
151,2017-07-17 15:06:39.250,2017-07-17 15:06:40.750,-2.9853835,1.5
152,2017-07-17 15:21:58.250,2017-07-17 15:22:01.750,-7.6598606,3.5
153,2017-07-17 15:23:01.750,2017-07-17 15:23:08.750,6.4449854,7.0
154,2017-07-17 15:26:28.250,2017-07-17 15:26:34.250,4.7443056,6.0
155,2017-07-17 15:50:11.750,2017-07-17 15:50:28.250,9.586168,16.5
156,2017-07-18 01:32:47.250,2017-07-18 01:32:51.750,-11.984804,4.5
157,2017-07-18 02:52:54.750,2017-07-18 02:52:58.250,1.7402532,3.5
158,2017-07-18 05:08:26.250,2017-07-18 05:08:38.750,-5.700693,12.5
159,2017-07-18 05:13:31.750,2017-07-18 05:13:37.750,-1.8241979,6.0
160,2017-07-18 05:17:01.250,2017-07-18 05:17:06.250,-0.74610305,5.0
161,2017-07-18 08:28:47.750,2017-07-18 08:28:51.750,-4.5590744,4.0
162,2017-07-18 12:52:33.750,2017-07-18 12:52:37.250,-1.4673501,3.5
163,2017-07-20 11:42:53.250,2017-07-20 11:43:00.250,-6.514343,7.0
164,2017-07-20 12:09:52.750,2017-07-20 12:09:58.750,-7.618598,6.0
165,2017-07-20 17:27:24.750,2017-07-20 17:27:30.750,1.1388843,6.0
166,2017-07-20 17:42:51.750,2017-07-20 17:42:54.750,3.807942,3.0
167,2017-07-20 17:52:41.750,2017-07-20 17:52:48.750,-9.9435215,7.0
168,2017-07-20 17:52:53.250,2017-07-20 17:52:57.250,-5.1464205,4.0
169,2017-07-20 17:53:02.750,2017-07-20 17:53:06.750,-4.855154,4.0
170,2017-07-20 18:26:38.250,2017-07-20 18:26:43.250,-2.6563542,5.0
171,2017-07-20 18:26:53.750,2017-07-20 18:27:02.750,-3.105269,9.0
172,2017-07-21 07:31:04.750,2017-07-21 07:31:15.250,3.6765127,10.5
173,2017-07-21 13:42:13.750,2017-07-21 13:42:17.250,-1.2813884,3.5
174,2017-07-21 13:50:12.250,2017-07-21 13:50:14.750,-11.677747,2.5
175,2017-07-21 13:50:14.750,2017-07-21 13:50:20.250,21.070576,5.5
176,2017-07-21 13:50:36.750,2017-07-21 13:51:04.750,8.748783,28.0
177,2017-07-21 13:59:50.250,2017-07-21 14:00:17.750,10.078388,27.5
178,2017-07-21 14:09:00.250,2017-07-21 14:09:13.250,-11.358139,13.0
179,2017-07-21 14:33:34.250,2017-07-21 14:33:36.250,-2.7661054,2.0
180,2017-07-22 17:35:21.250,2017-07-22 17:35:42.250,21.048298,21.0
181,2017-07-22 22:53:44.750,2017-07-22 22:53:56.250,8.12891,11.5
