,Start,End,DeltaBz,Duration
75,2017-07-06 23:55:51.250,2017-07-06 23:55:57.750,-3.8698182,6.5
76,2017-07-07 22:17:17.250,2017-07-07 22:17:31.250,12.213358,14.0
77,2017-07-09 10:42:16.750,2017-07-09 10:42:21.750,-2.3032374,5.0
78,2017-07-09 10:48:56.250,2017-07-09 10:49:07.750,23.288752,11.5
79,2017-07-09 19:34:28.250,2017-07-09 19:34:42.250,5.5586576,14.0
80,2017-07-11 22:35:57.250,2017-07-11 22:36:01.750,-4.679961,4.5
81,2017-07-11 23:45:09.250,2017-07-11 23:45:12.250,-7.328998,3.0
82,2017-07-11 23:45:17.250,2017-07-11 23:45:20.750,18.565182,3.5
83,2017-07-11 23:47:26.250,2017-07-11 23:47:45.750,-3.258343,19.5
84,2017-07-12 08:09:09.750,2017-07-12 08:09:13.250,4.921381,3.5
85,2017-07-12 11:53:45.750,2017-07-12 11:53:57.250,-1.1249031,11.5
86,2017-07-12 14:43:05.250,2017-07-12 14:43:11.750,9.826555,6.5
87,2017-07-12 14:43:46.250,2017-07-12 14:43:49.750,6.9111657,3.5
88,2017-07-12 15:03:52.250,2017-07-12 15:04:12.750,4.0699844,20.5
89,2017-07-13 10:52:47.750,2017-07-13 10:53:01.250,2.5407872,13.5
90,2017-07-14 17:32:35.250,2017-07-14 17:32:47.750,4.6700883,12.5
91,2017-07-14 17:39:01.250,2017-07-14 17:39:10.250,-3.7048697,9.0
92,2017-07-15 20:16:50.250,2017-07-15 20:16:56.750,-4.9369097,6.5
93,2017-07-17 03:11:19.250,2017-07-17 03:11:29.250,-15.44054,10.0
94,2017-07-17 07:32:28.250,2017-07-17 07:32:46.250,13.307034,18.0
95,2017-07-17 07:52:58.250,2017-07-17 07:53:19.750,10.568596,21.5
96,2017-07-17 10:32:19.750,2017-07-17 10:32:24.250,15.468697,4.5
97,2017-07-17 14:43:38.750,2017-07-17 14:43:42.750,-3.4976757,4.0
98,2017-07-17 14:58:17.250,2017-07-17 14:58:23.750,12.662476,6.5
99,2017-07-17 14:59:57.250,2017-07-17 15:00:02.250,-4.5666256,5.0
100,2017-07-17 15:00:39.250,2017-07-17 15:00:42.750,-4.345527,3.5
101,2017-07-17 15:01:03.750,2017-07-17 15:01:13.250,-3.6833596,9.5
102,2017-07-17 15:01:51.250,2017-07-17 15:01:53.250,-3.3866935,2.0
103,2017-07-17 15:04:14.250,2017-07-17 15:04:21.250,-3.175268,7.0
104,2017-07-17 15:05:00.750,2017-07-17 15:05:01.750,9.3725,1.0
105,2017-07-17 15:23:18.250,2017-07-17 15:23:26.250,-5.743629,8.0
106,2017-07-18 00:59:52.250,2017-07-18 01:00:05.250,6.527582,13.0
107,2017-07-18 01:35:31.750,2017-07-18 01:35:35.250,2.9188848,3.5
108,2017-07-18 05:49:46.250,2017-07-18 05:49:55.250,3.3746734,9.0
109,2017-07-18 07:45:42.750,2017-07-18 07:45:58.750,3.0131326,16.0
110,2017-07-18 13:13:45.750,2017-07-18 13:13:57.250,4.175039,11.5
111,2017-07-18 18:48:32.250,2017-07-18 18:48:35.250,-2.7552748,3.0
112,2017-07-18 20:01:43.750,2017-07-18 20:01:45.750,-3.1112921,2.0
113,2017-07-20 00:20:19.250,2017-07-20 00:20:26.750,-4.8944197,7.5
114,2017-07-20 14:23:04.250,2017-07-20 14:23:27.250,7.5093875,23.0
115,2017-07-20 16:45:50.250,2017-07-20 16:45:57.250,5.150775,7.0
116,2017-07-20 16:47:22.750,2017-07-20 16:47:32.750,4.106657,10.0
117,2017-07-20 17:53:00.250,2017-07-20 17:53:02.750,7.0967584,2.5
118,2017-07-21 13:50:20.250,2017-07-21 13:50:26.750,-13.534644,6.5
119,2017-07-21 14:10:20.750,2017-07-21 14:10:25.750,-21.262503,5.0
120,2017-07-21 14:10:26.750,2017-07-21 14:10:52.750,17.961447,26.0
121,2017-07-21 14:30:22.750,2017-07-21 14:30:30.750,-6.8831673,8.0
122,2017-07-21 14:34:03.250,2017-07-21 14:34:05.250,-5.260762,2.0
123,2017-07-23 00:15:51.250,2017-07-23 00:16:08.250,-3.113864,17.0
124,2017-07-23 04:53:48.250,2017-07-23 04:53:56.250,-11.767833,8.0
125,2017-07-23 08:00:33.250,2017-07-23 08:00:46.250,-8.083103,13.0
126,2017-07-23 12:25:13.750,2017-07-23 12:25:28.250,-10.951199,14.5
127,2017-07-23 13:14:47.250,2017-07-23 13:14:53.250,2.4553344,6.0
128,2017-07-23 16:33:01.750,2017-07-23 16:33:05.750,1.6657588,4.0
129,2017-07-23 16:34:22.250,2017-07-23 16:34:31.250,-4.2544622,9.0
130,2017-07-23 16:49:51.750,2017-07-23 16:49:54.750,-2.830572,3.0
131,2017-07-23 17:01:47.750,2017-07-23 17:01:55.250,4.9731956,7.5
132,2017-07-23 19:30:44.250,2017-07-23 19:30:49.750,13.954744,5.5
133,2017-07-23 19:36:02.750,2017-07-23 19:36:15.750,-8.604681,13.0
134,2017-07-23 19:36:39.750,2017-07-23 19:36:47.750,-4.5806446,8.0
135,2017-07-23 20:05:36.750,2017-07-23 20:05:44.250,-5.9319706,7.5
136,2017-07-23 20:06:31.250,2017-07-23 20:06:34.750,3.2140543,3.5
137,2017-07-23 20:13:22.750,2017-07-23 20:13:27.750,3.8028355,5.0
138,2017-07-26 00:01:04.250,2017-07-26 00:01:09.250,7.6352057,5.0
139,2017-07-26 00:02:35.250,2017-07-26 00:02:40.250,6.340361,5.0
140,2017-07-26 00:05:30.750,2017-07-26 00:05:38.750,7.6532335,8.0
141,2017-07-26 02:30:02.750,2017-07-26 02:30:05.250,3.735796,2.5
142,2017-07-26 02:44:44.750,2017-07-26 02:44:46.250,-7.942333,1.5
143,2017-07-26 02:47:38.250,2017-07-26 02:47:42.750,-6.423905,4.5
144,2017-07-26 06:06:55.250,2017-07-26 06:06:58.250,3.532879,3.0
145,2017-07-26 06:21:53.750,2017-07-26 06:21:56.750,8.260823,3.0
146,2017-07-26 07:04:43.750,2017-07-26 07:04:56.250,14.114066,12.5
147,2017-07-26 07:22:22.750,2017-07-26 07:22:25.250,7.770256,2.5
148,2017-07-26 07:23:14.250,2017-07-26 07:23:16.250,4.362476,2.0
149,2017-07-26 07:23:19.750,2017-07-26 07:23:20.750,6.1383724,1.0
150,2017-07-26 07:23:50.250,2017-07-26 07:23:52.750,4.062373,2.5
151,2017-07-26 07:37:01.750,2017-07-26 07:37:02.750,-4.967875,1.0
152,2017-07-26 11:43:03.250,2017-07-26 11:43:17.250,5.235521,14.0
153,2017-07-28 20:01:59.750,2017-07-28 20:02:23.750,7.658319,24.0
154,2017-07-28 20:12:56.250,2017-07-28 20:13:03.250,10.22378,7.0
155,2017-07-29 07:18:14.750,2017-07-29 07:18:22.250,-2.4047735,7.5
156,2017-07-29 08:17:40.750,2017-07-29 08:17:52.750,3.2893448,12.0
157,2017-07-29 15:49:09.750,2017-07-29 15:49:13.750,2.5836954,4.0
158,2017-07-29 15:55:54.750,2017-07-29 15:55:57.250,-2.5201151,2.5
159,2017-07-29 16:06:41.750,2017-07-29 16:06:45.250,2.6336455,3.5
160,2017-07-29 23:47:56.250,2017-07-29 23:48:04.250,3.166122,8.0
161,2017-07-30 04:49:46.750,2017-07-30 04:49:50.750,-3.7739506,4.0
162,2017-07-31 16:32:37.750,2017-07-31 16:32:59.750,2.6840458,22.0
163,2017-07-31 20:58:46.750,2017-07-31 20:58:47.750,-7.6482077,1.0
164,2017-07-31 22:25:53.250,2017-07-31 22:26:09.750,6.5933127,16.5
165,2017-08-01 00:49:30.250,2017-08-01 00:49:52.750,10.870956,22.5
166,2017-08-01 04:20:56.750,2017-08-01 04:21:04.250,1.719096,7.5
167,2017-08-01 04:30:28.250,2017-08-01 04:30:40.250,7.485072,12.0
168,2017-08-01 04:35:11.750,2017-08-01 04:35:16.750,-1.7985092,5.0
169,2017-08-01 04:45:10.750,2017-08-01 04:45:14.250,5.3333063,3.5
170,2017-08-01 09:58:16.750,2017-08-01 09:58:38.250,-6.1596394,21.5
171,2017-08-01 10:57:45.750,2017-08-01 10:57:51.750,3.8446877,6.0
172,2017-08-01 11:20:50.750,2017-08-01 11:20:56.250,9.33119,5.5
173,2017-08-01 11:21:59.750,2017-08-01 11:22:01.750,13.32773,2.0
174,2017-08-01 11:22:28.250,2017-08-01 11:22:35.250,-17.065369,7.0
175,2017-08-01 11:24:45.750,2017-08-01 11:24:48.750,16.858944,3.0
176,2017-08-01 11:26:17.250,2017-08-01 11:26:20.250,-11.20136,3.0
